Timestamp,Jenis Kelamin,Program Studi,Saya tidur cukup (7-8 jam) dalam sehari.,Saya sering begadang untuk aktivitas non-akademik.,Saya sering merasa mengantuk saat mengikuti perkuliahan.,Saya menggunakan gadget lebih dari tiga jam per hari di luar keperluan belajar.,Saya sering terdistraksi oleh gadget saat sedang belajar.,Saya menggunakan gadget sebagai alat utama belajar.,Saya mampu mengontrol penggunaan gadget saat sedang belajar.,Saya berolahraga minimal satu kali dalam seminggu.,Saya merasa lebih fokus setelah berolahraga.,Saya meluangkan waktu khusus untuk melakukan aktivitas fisik.,Saya mampu berkonsentrasi dalam waktu lama saat belajar.,Saya mudah mengingat materi perkuliahan.,Saya mampu menjelaskan kembali materi yang telah dipelajari.,Waktu belajar saya digunakan secara efektif.,Saya belajar secara konsisten setiap hari.,Saya aktif bertanya/berdiskusi di kelas.,Saya berpartisipasi dalam kegiatan perkuliahan.,Saya dapat menyelesaikan tugas tanpa banyak kesulitan.,Saya merasa proses belajar saya terarah dan terencana.,Saya mampu mencapai hasil belajar yang sesuai dengan usaha yang saya lakukan.
4/5/2026 22:51:54,Laki-Laki,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya
5/4/2026 12:24:06,Laki-Laki,Teknik Perminyakan,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya
5/4/2026 12:53:54,Laki-Laki,Teknik Perminyakan,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya
5/4/2026 19:37:14,Laki-Laki,Teknologi Pengolahan Pulp dan Kertas,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/4/2026 19:40:59,Perempuan,Sains Data,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
5/4/2026 19:42:35,Perempuan,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
5/4/2026 19:44:08,Perempuan,Sains Data,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya
5/4/2026 20:18:43,Perempuan,Teknik Metalurgi,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/4/2026 21:05:17,Laki-Laki,Sains Data,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya
5/4/2026 21:19:05,Perempuan,Sains Data,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/4/2026 21:20:20,Perempuan,Sains Data,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya
5/5/2026 7:15:57,Perempuan,Teknik Metalurgi,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya
5/5/2026 7:26:21,Laki-Laki,Informatika,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/5/2026 20:54:04,Laki-Laki,Sains Data,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/5/2026 21:51:58,Perempuan,Perencanaan Wilayah dan Kota,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Ya
5/5/2026 21:54:27,Perempuan,Teknik Pertambangan,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 8:23:41,Perempuan,Sains Data,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya
5/6/2026 8:32:15,Perempuan,Sains Data,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 9:55:42,Perempuan,Informatika,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/6/2026 10:11:08,Perempuan,Sains Data,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya
5/6/2026 11:07:45,Perempuan,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
5/6/2026 11:10:36,Perempuan,Sains Data,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/6/2026 12:00:31,Perempuan,Sains Data,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
5/6/2026 12:00:41,Laki-Laki,Sains Data,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya
5/6/2026 12:01:25,Perempuan,Sains Data,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya
5/6/2026 12:03:52,Laki-Laki,Sains Data,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya
5/6/2026 12:09:05,Perempuan,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya
5/6/2026 12:11:11,Laki-Laki,Sains Data,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/6/2026 12:13:17,Perempuan,Sains Data,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Ya
5/6/2026 12:18:22,Laki-Laki,Sains Data,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya
5/6/2026 12:20:19,Laki-Laki,Sains Data,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 13:06:42,Perempuan,Sains Data,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/6/2026 13:18:47,Perempuan,Sains Data,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 16:19:20,Perempuan,Sains Data,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 16:32:53,Laki-Laki,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya
5/6/2026 16:54:45,Perempuan,Sains Data,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya
5/6/2026 17:55:52,Perempuan,Sains Data,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya
5/7/2026 1:07:06,Perempuan,Teknik Metalurgi,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/7/2026 20:10:00,Laki-Laki,Teknik Metalurgi,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/7/2026 21:59:39,Laki-Laki,Sains Data,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak
5/7/2026 22:15:26,Perempuan,Sains Data,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
5/8/2026 15:43:14,Laki-Laki,Teknik Sipil,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya
5/9/2026 7:38:44,Laki-Laki,Sains Data,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak
5/10/2026 12:36:57,Perempuan,Teknologi Pengolahan Sawit,Tidak,Tidak,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak
5/10/2026 12:46:54,Perempuan,Sains Data,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya
5/10/2026 20:39:09,Perempuan,Sains Data,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya
5/11/2026 14:05:02,Perempuan,Teknik Metalurgi,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/11/2026 21:59:27,Laki-Laki,Sains Data,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya
5/12/2026 19:59:47,Laki-Laki,Sains Data,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya
5/12/2026 22:26:24,Laki-Laki,Informatika,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
5/13/2026 10:34:21,Perempuan,Sains Data,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya
5/13/2026 10:46:36,Perempuan,Sains Data,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya
